Hour,Total_Transactions,Legit_Transactions,Fraud_Transactions,Total_Amount_EUR,Fraud_Amount_EUR,Avg_Transaction_Amount_EUR,Avg_Fraud_Amount_EUR,Fraud_Rate_Pct
0,7647,7641,6,463346.88,1820.07,60.59,303.34,0.0785
1,4208,4198,10,264126.04,1279.32,62.77,127.93,0.2376
2,3308,3260,48,232905.95,3753.16,70.41,78.19,1.451
3,3487,3470,17,180492.68,233.91,51.76,13.76,0.4875
4,2204,2181,23,170053.44,1548.2,77.16,67.31,1.0436
5,2988,2977,11,151498.21,1416.67,50.7,128.79,0.3681
6,4082,4073,9,266091.36,1007.32,65.19,111.92,0.2205
7,7233,7210,23,491013.04,2757.78,67.89,119.9,0.318
8,10232,10223,9,909560.54,430.99,88.89,47.89,0.088
9,15767,15751,16,1622964.43,1255.41,102.93,78.46,0.1015
10,16548,16540,8,1814463.75,2349.61,109.65,293.7,0.0483
11,16781,16728,53,1845834.42,6570.73,110.0,123.98,0.3158
12,15378,15361,17,1630932.89,3406.54,106.06,200.38,0.1105
13,15323,15306,17,1516582.84,2194.48,98.97,129.09,0.1109
14,16520,16497,23,1711371.4,3641.12,103.59,158.31,0.1392
15,16374,16348,26,1674869.73,2234.09,102.29,85.93,0.1588
16,16396,16374,22,1699260.92,4505.45,103.64,204.79,0.1342
17,16130,16102,28,1586636.58,3371.91,98.37,120.43,0.1736
18,16959,16931,28,1314396.8,6340.14,77.5,226.43,0.1651
19,15566,15547,19,1211502.33,2114.63,77.83,111.3,0.1221
20,16705,16687,18,1248209.03,1510.41,74.72,83.91,0.1078
21,17629,17613,16,1267553.08,1029.5,71.9,64.34,0.0908
22,15378,15369,9,1076371.1,1442.0,69.99,160.22,0.0585
23,10883,10866,17,751964.24,2377.95,69.1,139.88,0.1562
